Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,721.5225,"  Naphthalene,1,2,3,4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_15225
Subsection,721.10107,"  Naphthalenedisulfonic acid, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110107
Subsection,721.10108,"  Naphthalenedisulfonic acid, hydrozy",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110108
