Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,721.10010,  Barium manganese oxide ,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110010
Subsection,721.10011,  Barium calcium manganese strontium oxide,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110011
