Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,721.320,  Acrylamide,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_1320
Subsection,721.6520,"  Acrylamide, polymer with substituted alkylacrylamide 
salt ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_16520
Subsection,721.6540,"  Acrylamide, polymers with tetraalkyl ammonium salt 
and polyalkyl, aminoalkyl meth a cryl a mide salt",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_16540
