Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,721.5283,  Cobaltate ,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_15283
Subsection,721.10201,  Cobalt lithium manganese nickel oxide,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110201
Subsection,721.10529,"  Cobalt iron manganese oxide, carboxylic acid",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110529
